id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"marktschreier","Marktschreier","MALE","false","2","2","270",,"3","4","0","0.414576802507837","0.1658887187969811"
"woyzeck","Woyzeck","MALE","false","36","143","2553",,"21","47","0.4170771756978653","0.7015915119363395","0.5150924553510735"
"marie","Marie","FEMALE","false","15","61","1010",,"13","26","0.08949096880131362","0.5365111561866126","0.4144379015390357"
"tambourmajor","Tambourmajor","MALE","false","5","14","192",,"7","10","0.1116584564860427","0.4677276746242264","0.2221300149870102"
"andres","Andres","MALE","false","10","48","346",,"1","10","0","0.3800287356321839","0.07419552179447021"
"karl_narr","Karl/Narr","MALE","false","4","8","80",,"4","6","0.0024630541871921183","0.4053639846743295","0.16695828523853953"
"barbier","Barbier","MALE","false","2","4","308",,"2","2","0.054187192118226604","0.30917592051431914","0.03267437418123993"
"maedchen","Mädchen","FEMALE","true","1","1","36",,"5","5","0","0.414576802507837","0.23577845983946602"
"erstes_kind","Erstes Kind","UNKNOWN","false","2","4","29",,"5","6","0","0.414576802507837","0.23577845983946602"
"zweites_kind","Zweites Kind","UNKNOWN","false","2","4","39",,"5","6","0","0.414576802507837","0.23577845983946602"
"grossmutter","Großmutter","FEMALE","false","1","1","144",,"5","5","0","0.414576802507837","0.23577845983946602"
"erste_person","Erste Person","MALE","false","1","4","23",,"1","1","0","0.034482758620689655","6.331217620764197E-11"
"zweite_person","Zweite Person","MALE","false","1","3","40",,"1","1","0","0.034482758620689655","6.331217620764197E-11"
"kaethe","Käthe","FEMALE","false","1","4","45",,"3","3","0","0.39655172413793105","0.11477771269532838"
"wirth","Wirth","MALE","false","1","3","21",,"3","3","0","0.39655172413793105","0.11477771269532838"
"gerichtsdiener","Gerichtsdiener","MALE","false","1","1","25",,"1","1","0","0.22520221370796084","0.004706574342852786"
"margreth","Margreth","FEMALE","false","2","8","87",,"2","4","0","0.38811445341159206","0.13389231439913865"
"alter_mann","Alter Mann","MALE","false","1","1","14",,"3","3","0","0.10344827586206896","0.000004149226779944024"
"ausrufer","Ausrufer","MALE","false","1","1","117",,"3","3","0","0.10344827586206896","0.000004149226779944024"
"herr","Herr","MALE","false","1","2","4",,"3","3","0","0.10344827586206896","0.000004149226779944024"
"student","Student","MALE","false","1","1","10",,"3","3","0","0.10344827586206896","0.000004149226779944024"
"erster_handwerksbursch","Erster Handwerksbursch","MALE","false","2","4","233",,"4","5","0","0.4053639846743295","0.1880736871587007"
"zweiter_handwerksbursch","Zweiter Handwerksbursch","MALE","false","2","2","49",,"4","5","0","0.4053639846743295","0.1880736871587007"
"unterofficier","Unterofficier","MALE","false","1","2","28",,"3","3","0","0.414576802507837","0.1658887187969811"
"doctor","Doctor","MALE","false","5","34","1182",,"2","6","0","0.38811445341159206","0.08668139861554593"
"hauptmann","Hauptmann","MALE","false","3","24","1046",,"2","4","0","0.38811445341159206","0.08668139861554593"
"andre_im_chor","Andre im Chor","MALE","true","1","1","27",,"4","4","0","0.4053639846743295","0.1880736871587007"
"eine","Eine","FEMALE","false","1","1","4",,"3","3","0","0.414576802507837","0.12406234701301429"
"andre","Andre","FEMALE","false","1","1","2",,"3","3","0","0.414576802507837","0.12406234701301429"
"jud","Jud","MALE","false","1","4","67",,"1","1","0","0.3800287356321839","0.07419552179447021"
